Re,Experiment,,Calculated Martin,,Percent Error
24340.92332,109.0064133,,156.9593,,0.439908691
24495.45888,176.5075495,,157.5838,,0.107212293
26103.75798,115.7753105,,164.0001,,0.41653768
27323.28949,165.0791715,,168.7697,,0.022356333
31172.84463,201.7926275,,183.3407,,0.091439908
32714.02541,122.1441744,,188.9880,,0.547253108
33215.51827,137.7845643,,190.8045,,0.384803003
34252.10505,158.5804616,,194.5278,,0.226682245
42904.89013,196.4612457,,224.1531,,0.140953181
45672.7699,183.7409208,,233.1552,,0.268934531
47500.12163,167.3040605,,238.9893,,0.428472905
48593.57638,204.5123298,,242.4411,,0.18545974
54994.10968,274.5566189,,262.1055,,0.04534986
59924.76593,258.504444,,276.6877,,0.07034002
60446.05447,193.8486105,,278.2032,,0.435157064
63813.92714,214.3232073,,287.8821,,0.343214713
72770.65895,305.5944945,,312.7553,,0.02343223
77440.10158,318.117916,,325.2758,,0.022500621
80882.25628,256.7798336,,334.3292,,0.302007345
89140.83339,269.0980908,,355.4948,,0.321060233
93381.10635,293.5640853,,366.0820,,0.24702577
100935.2926,303.5557231,,384.5176,,0.266711888
102426.478,410.2588398,,388.0963,,0.054020898
110696.6824,444.5730716,,407.6084,,0.083146486
126438.7495,371.066237,,443.3343,,0.194757806
126454.1389,356.4583867,,443.3684,,0.243815267
143179.8114,407.521801,,479.5814,,0.176823918
147681.1017,435.7344043,,489.0577,,0.122375618
160866.3969,459.704395,,516.2258,,0.12295169
183579.1304,515.1092683,,561.1859,,0.089450185
196962.2973,472.1794237,,586.7218,,0.242582355
204610.1368,625.4682637,,601.0286,,0.039074131
252490.6723,633.8981429,,688.2737,,0.085779663
290569.7516,581.0682863,,780.3318,,0.342926076
396671.1132,642.4416376,,1034.4428,,0.610174024
443605.3467,928.3766472,,1145.9746,,0.234385376
612356.7276,1238.025325,,1543.7405,,0.246937747
855280.2635,1623.555348,,2109.8052,,0.299496956
1300856.786,2466.953022,,3134.7398,,0.270692943
,,,,,
,,,,,0.309926933
